Symbol,ad
GARFA,Garanti Faktoring A.Ş.
GEDIK,Gedik Yatırım Menkul Değerler A.Ş.
GEDZA,Gediz Ambalaj Sanayi ve Ticaret A.Ş.
GENIL,GEN İLAÇ
GENTS,Gentaş Genel Metal Sanayi Ve Ticaret A.Ş.
GEREL,Gersan Elektrik Ticaret Ve Sanayi A. Ş.
GESAN,GİRİŞİM ELEKTRİK
GLBMD,Global Menkul Değerler A.Ş.
GLCVY,GELECEK VARLIK
GLDTR,ISTANBUL GOLD B TIPI
GLRYH,Güler Yatırım Holding A.Ş.
GLYHO,Global Yatırım Holding A.Ş.
GMSTR, İstanbul Silver B Tipi Gümüş BYF
GMTAS,GİMAT MAĞAZACILIK
GOLTS,Göltaş Goller Bolgesi Çimento San.Ve Tic.A.Ş.
GOODY,Goodyear Lastikleri T.A.Ş.
GOZDE,Gözde Girişim Sermayesi Yatırım Ortaklığı A.Ş.
GRNYO,Garanti Yatırım Ortaklığı A.Ş.
GRSEL,GÜR-SEL TURİZM
GSDDE,GSD Denizcilik Gayrimenkul İnşaat Sanayi ve Ticare
GSDHO,GSD Holding A.Ş.
GSRAY,Galatasaray Sportif Sınai ve Ticari Yatırımlar Ano
GUBRF,Gübre Fabrikaları T.A.Ş.
GWIND,GALATA WIND ENERJİ
GZNMI,GEZİNOMİ SEYAHAT
HALKB,Türkiye Halk Bankası A.Ş.
HATEK,Hateks Hatay Tekstil İşletmeleri A.Ş.
HDFGS,Hedef Girişim Sermayesi Yatırım Ortaklığı Anonim Ş
HEDEF,HEDEF HOLDİNG
HEKTS,Hektaş Ticaret T.A.Ş.
HKTM,HİDROPAR TEKNOLOJİ
HLGYO,Halk Gayrimenkul Yatırım Ortaklığı A.Ş.
HTTBT,HİTİT BİLGİSAYAR
HUBVC,HUB GIRISIM SERMAYESI
HUNER,HUN ENERJİ
HURGZ,Hurriyet Gazetecilik Ve Matbaacılık A.Ş.
ICBCT,ICBC Turkey Bank A.Ş.
IDEAS,İDEALİST DANIŞMANLIK A.Ş.
